gene_id	gene_biotype	gene_name
ENSG00000162408	protein_coding	NOL9
ENSG00000173662	protein_coding	TAS1R1
ENSG00000204859	protein_coding	ZBTB48
ENSG00000162413	protein_coding	KLHL21
ENSG00000116273	protein_coding	PHF13
ENSG00000041988	protein_coding	THAP3
ENSG00000007923	protein_coding	DNAJC11
ENSG00000228750	lincRNA	LINC01672
ENSG00000284744	lincRNA	AL591163.1
ENSG00000237436	antisense	CAMTA1-DT
ENSG00000171735	protein_coding	CAMTA1
ENSG00000237365	antisense	AL512330.1
ENSG00000237728	antisense	Z97987.1
ENSG00000225126	antisense	AL365194.1
ENSG00000270171	lincRNA	AL359881.3
ENSG00000270035	lincRNA	AL359881.2
ENSG00000269978	lincRNA	AL359881.1
ENSG00000049245	protein_coding	VAMP3
ENSG00000049246	protein_coding	PER3
ENSG00000236266	antisense	Z98884.1
ENSG00000049247	protein_coding	UTS2
ENSG00000049249	protein_coding	TNFRSF9
ENSG00000116288	protein_coding	PARK7
ENSG00000284747	antisense	AL034417.4
ENSG00000284716	lincRNA	AL034417.3
ENSG00000116285	protein_coding	ERRFI1
ENSG00000238290	lincRNA	AL034417.2
ENSG00000227634	lincRNA	LINC01714
ENSG00000233645	lincRNA	AL358876.2
ENSG00000162426	protein_coding	SLC45A1
ENSG00000142599	protein_coding	RERE
ENSG00000232912	antisense	AL096855.1
ENSG00000228423	lincRNA	AL357552.2
ENSG00000074800	protein_coding	ENO1
ENSG00000230679	antisense	ENO1-AS1
ENSG00000131686	protein_coding	CA6
ENSG00000197241	protein_coding	SLC2A7
ENSG00000142583	protein_coding	SLC2A5
ENSG00000180758	protein_coding	GPR157
ENSG00000228526	lincRNA	MIR34AHG
ENSG00000234546	lincRNA	LINC01759
ENSG00000049239	protein_coding	H6PD
ENSG00000171621	protein_coding	SPSB1
ENSG00000284652	lincRNA	BX323043.1
ENSG00000284693	lincRNA	AL928921.2
ENSG00000235263	lincRNA	AL928921.1
ENSG00000171612	protein_coding	SLC25A33
ENSG00000188807	protein_coding	TMEM201
ENSG00000171608	protein_coding	PIK3CD
ENSG00000179840	antisense	PIK3CD-AS1
ENSG00000231789	antisense	PIK3CD-AS2
ENSG00000171603	protein_coding	CLSTN1
ENSG00000178585	protein_coding	CTNNBIP1
ENSG00000223989	antisense	AL357140.1
ENSG00000162441	protein_coding	LZIC
ENSG00000173614	protein_coding	NMNAT1
ENSG00000162444	protein_coding	RBP7
ENSG00000130939	protein_coding	UBE4B
ENSG00000054523	protein_coding	KIF1B
ENSG00000284735	lincRNA	AL139424.3
ENSG00000284642	lincRNA	AL139424.2
ENSG00000142657	protein_coding	PGD
ENSG00000271989	antisense	AL139424.1
ENSG00000251503	protein_coding	CENPS-CORT
ENSG00000175279	protein_coding	CENPS
ENSG00000241563	protein_coding	CORT
ENSG00000160049	protein_coding	DFFA
ENSG00000203469	antisense	AL354956.1
ENSG00000142655	protein_coding	PEX14
ENSG00000130940	protein_coding	CASZ1
ENSG00000272078	antisense	AL139423.1
ENSG00000175262	protein_coding	C1orf127
ENSG00000120948	protein_coding	TARDBP
ENSG00000277726	protein_coding	AL109811.4
ENSG00000009724	protein_coding	MASP2
ENSG00000271895	antisense	AL109811.3
ENSG00000116649	protein_coding	SRM
ENSG00000171824	protein_coding	EXOSC10
ENSG00000226849	antisense	AL109811.1
ENSG00000230337	antisense	AL109811.2
ENSG00000198793	protein_coding	MTOR
ENSG00000225602	antisense	MTOR-AS1
ENSG00000171819	protein_coding	ANGPTL7
ENSG00000120942	protein_coding	UBIAD1
ENSG00000284646	lincRNA	AL031291.1
ENSG00000204624	protein_coding	DISP3
ENSG00000235643	lincRNA	LINC01647
ENSG00000284708	antisense	AL031731.1
ENSG00000116661	protein_coding	FBXO2
ENSG00000132879	protein_coding	FBXO44
ENSG00000116663	protein_coding	FBXO6
ENSG00000116670	protein_coding	MAD2L2
ENSG00000162490	protein_coding	DRAXIN
ENSG00000177674	protein_coding	AGTRAP
ENSG00000215910	protein_coding	C1orf167
ENSG00000177553	antisense	AL953897.1
ENSG00000177000	protein_coding	MTHFR
ENSG00000011021	protein_coding	CLCN6
ENSG00000242349	antisense	NPPA-AS1
ENSG00000175206	protein_coding	NPPA
ENSG00000120937	protein_coding	NPPB
ENSG00000116685	protein_coding	KIAA2013
ENSG00000083444	protein_coding	PLOD1
ENSG00000116688	protein_coding	MFN2
ENSG00000116691	protein_coding	MIIP
ENSG00000120949	protein_coding	TNFRSF8
ENSG00000028137	protein_coding	TNFRSF1B
ENSG00000048707	protein_coding	VPS13D
ENSG00000229484	lincRNA	AC243836.1
ENSG00000162496	protein_coding	DHRS3
ENSG00000272482	lincRNA	AC254633.1
ENSG00000204518	protein_coding	AADACL4
ENSG00000188984	protein_coding	AADACL3
ENSG00000157330	protein_coding	C1orf158
ENSG00000116726	protein_coding	PRAMEF12
ENSG00000116721	protein_coding	PRAMEF1
ENSG00000228338	lincRNA	LINC01784
ENSG00000239810	protein_coding	PRAMEF11
ENSG00000179172	protein_coding	HNRNPCL1
ENSG00000120952	protein_coding	PRAMEF2
ENSG00000243073	protein_coding	PRAMEF4
ENSG00000187545	protein_coding	PRAMEF10
ENSG00000204510	protein_coding	PRAMEF7
ENSG00000232423	protein_coding	PRAMEF6
ENSG00000274764	protein_coding	PRAMEF27
ENSG00000277058	protein_coding	HNRNPCL3
ENSG00000229571	protein_coding	PRAMEF25
ENSG00000275774	protein_coding	HNRNPCL2
ENSG00000233336	lincRNA	AC245056.1
ENSG00000280267	protein_coding	PRAMEF26
ENSG00000179412	protein_coding	HNRNPCL4
ENSG00000204505	protein_coding	PRAMEF9
ENSG00000279169	protein_coding	PRAMEF13
ENSG00000279804	protein_coding	PRAMEF18
ENSG00000270601	protein_coding	PRAMEF5
ENSG00000182330	protein_coding	PRAMEF8
ENSG00000237700	protein_coding	PRAMEF33
ENSG00000204501	protein_coding	PRAMEF15
ENSG00000228229	lincRNA	AC243961.1
ENSG00000204481	protein_coding	PRAMEF14
ENSG00000204480	protein_coding	PRAMEF19
ENSG00000204479	protein_coding	PRAMEF17
ENSG00000204478	protein_coding	PRAMEF20
ENSG00000162494	protein_coding	LRRC38
ENSG00000259961	antisense	AL354712.1
ENSG00000162493	protein_coding	PDPN
ENSG00000237445	lincRNA	AL359771.1
ENSG00000116731	protein_coding	PRDM2
ENSG00000189337	protein_coding	KAZN
ENSG00000231606	lincRNA	AL357873.1
ENSG00000234593	lincRNA	KAZN-AS1
ENSG00000175147	antisense	TMEM51-AS1
ENSG00000171729	protein_coding	TMEM51
ENSG00000204464	lincRNA	C1orf195
ENSG00000142621	protein_coding	FHAD1
ENSG00000233485	antisense	AL031283.2
ENSG00000236045	antisense	AL031283.3
ENSG00000228140	lincRNA	AL031283.1
ENSG00000142634	protein_coding	EFHD2
ENSG00000162438	protein_coding	CTRC
ENSG00000142615	protein_coding	CELA2A
ENSG00000215704	protein_coding	CELA2B
ENSG00000132906	protein_coding	CASP9
ENSG00000116138	protein_coding	DNAJC16
ENSG00000272510	antisense	AL121992.3
ENSG00000116771	protein_coding	AGMAT
ENSG00000237301	antisense	AL121992.1
ENSG00000197312	protein_coding	DDI2
ENSG00000215695	protein_coding	RSC1A1
ENSG00000271742	lincRNA	AL121992.2
ENSG00000116786	protein_coding	PLEKHM2
ENSG00000237938	antisense	AL450998.3
ENSG00000162461	protein_coding	SLC25A34
ENSG00000224459	antisense	SLC25A34-AS1
ENSG00000162460	protein_coding	TMEM82
ENSG00000162458	protein_coding	FBLIM1
ENSG00000233954	protein_coding	UQCRHL
ENSG00000179743	antisense	AL450998.2
ENSG00000065526	protein_coding	SPEN
ENSG00000116809	protein_coding	ZBTB17
ENSG00000183888	protein_coding	SRARP
ENSG00000233078	antisense	AL355994.3
ENSG00000173641	protein_coding	HSPB7
ENSG00000186510	protein_coding	CLCNKA
ENSG00000184908	protein_coding	CLCNKB
ENSG00000185519	protein_coding	FAM131C
ENSG00000142627	protein_coding	EPHA2
ENSG00000227959	antisense	AL451042.2
ENSG00000224621	antisense	AL451042.1
ENSG00000234166	antisense	ARHGEF19-AS1
ENSG00000142632	protein_coding	ARHGEF19
ENSG00000132881	protein_coding	CPLANE2
ENSG00000037637	protein_coding	FBXO42
ENSG00000055070	protein_coding	SZRD1
ENSG00000187144	protein_coding	SPATA21
ENSG00000157191	protein_coding	NECAP2
ENSG00000226029	lincRNA	LINC01772
ENSG00000261135	lincRNA	AL137802.2
ENSG00000224174	lincRNA	AL137802.1
ENSG00000233421	lincRNA	LINC01783
ENSG00000219481	protein_coding	NBPF1
ENSG00000271732	lincRNA	AL137798.1
ENSG00000282143	lincRNA	AL137798.2
ENSG00000279151	lincRNA	AL021920.1
ENSG00000282740	lincRNA	AL021920.3
ENSG00000058453	protein_coding	CROCC
ENSG00000223643	lincRNA	BX284668.1
ENSG00000228549	lincRNA	BX284668.2
ENSG00000238142	lincRNA	BX284668.5
ENSG00000272426	lincRNA	BX284668.6
ENSG00000117122	protein_coding	MFAP2
ENSG00000226526	antisense	AL049569.1
ENSG00000159363	protein_coding	ATP13A2
ENSG00000117118	protein_coding	SDHB
ENSG00000117115	protein_coding	PADI2
ENSG00000204362	lincRNA	AL590644.1
ENSG00000282843	lincRNA	AL590644.3
ENSG00000142623	protein_coding	PADI1
ENSG00000142619	protein_coding	PADI3
ENSG00000159339	protein_coding	PADI4
ENSG00000276747	protein_coding	PADI6
ENSG00000227751	antisense	AC004824.1
ENSG00000179051	protein_coding	RCC2
ENSG00000074964	protein_coding	ARHGEF10L
ENSG00000236648	lincRNA	AL136529.1
ENSG00000117148	protein_coding	ACTL8
ENSG00000284653	lincRNA	AL357509.1
ENSG00000261781	lincRNA	LINC01654
ENSG00000117154	protein_coding	IGSF21
ENSG00000230035	antisense	IGSF21-AS1
ENSG00000225387	lincRNA	AL591896.1
ENSG00000179023	protein_coding	KLHDC7A
ENSG00000009709	protein_coding	PAX7
ENSG00000179002	protein_coding	TAS1R2
ENSG00000255275	protein_coding	AL080251.1
ENSG00000159423	protein_coding	ALDH4A1
ENSG00000169991	protein_coding	IFFO2
ENSG00000127481	protein_coding	UBR4
ENSG00000230424	antisense	AL035413.1
ENSG00000127463	protein_coding	EMC1
ENSG00000053372	protein_coding	MRTO4
ENSG00000162482	protein_coding	AKR7A3
ENSG00000053371	protein_coding	AKR7A2
ENSG00000040487	protein_coding	PQLC2
ENSG00000077549	protein_coding	CAPZB
ENSG00000235185	antisense	AL031727.2
ENSG00000173436	protein_coding	MINOS1
ENSG00000158747	protein_coding	NBL1
ENSG00000270136	protein_coding	MINOS1-NBL1
ENSG00000158748	protein_coding	HTR6
ENSG00000162542	protein_coding	TMCO4
ENSG00000178828	protein_coding	RNF186
ENSG00000235434	antisense	AL391883.1
ENSG00000169914	protein_coding	OTUD3
ENSG00000188784	protein_coding	PLA2G2E
ENSG00000188257	protein_coding	PLA2G2A
ENSG00000127472	protein_coding	PLA2G5
ENSG00000117215	protein_coding	PLA2G2D
ENSG00000158786	protein_coding	PLA2G2F
ENSG00000227066	lincRNA	Z98257.1
ENSG00000187980	protein_coding	PLA2G2C
ENSG00000225986	antisense	UBXN10-AS1
ENSG00000162543	protein_coding	UBXN10
ENSG00000228105	lincRNA	LINC01757
ENSG00000284710	lincRNA	Z98257.2
ENSG00000158816	protein_coding	VWA5B1
ENSG00000226664	antisense	AL020998.1
ENSG00000236963	lincRNA	LINC01141
ENSG00000226487	lincRNA	AL139254.1
ENSG00000284641	lincRNA	AL139254.2
ENSG00000284743	lincRNA	AL139254.3
ENSG00000162545	protein_coding	CAMK2N1
ENSG00000090432	protein_coding	MUL1
ENSG00000183114	protein_coding	FAM43B
ENSG00000158825	protein_coding	CDA
ENSG00000158828	protein_coding	PINK1
ENSG00000117242	antisense	PINK1-AS
ENSG00000244038	protein_coding	DDOST
ENSG00000117245	protein_coding	KIF17
ENSG00000189410	protein_coding	SH2D5
ENSG00000233069	antisense	AL663074.1
ENSG00000127483	protein_coding	HP1BP3
ENSG00000075151	protein_coding	EIF4G3
ENSG00000117298	protein_coding	ECE1
ENSG00000236936	antisense	AL031005.1
ENSG00000231105	antisense	AL031728.1
ENSG00000236009	lincRNA	AL592309.2
ENSG00000142794	protein_coding	NBPF3
ENSG00000162551	protein_coding	ALPL
ENSG00000233431	antisense	AL359815.1
ENSG00000076864	protein_coding	RAP1GAP
ENSG00000090686	protein_coding	USP48
ENSG00000187942	protein_coding	LDLRAD2
ENSG00000142798	protein_coding	HSPG2
ENSG00000219073	protein_coding	CELA3B
ENSG00000142789	protein_coding	CELA3A
ENSG00000228397	lincRNA	LINC01635
ENSG00000070831	protein_coding	CDC42
ENSG00000271840	lincRNA	AL031281.2
ENSG00000162552	protein_coding	WNT4
ENSG00000184677	protein_coding	ZBTB40
ENSG00000070886	protein_coding	EPHA8
ENSG00000173372	protein_coding	C1QA
ENSG00000159189	protein_coding	C1QC
ENSG00000173369	protein_coding	C1QB
ENSG00000133216	protein_coding	EPHB2
ENSG00000225952	antisense	AL512444.1
ENSG00000215906	protein_coding	LACTBL1
ENSG00000227868	protein_coding	TEX46
ENSG00000004487	protein_coding	KDM1A
ENSG00000240553	antisense	AL031428.1
ENSG00000169641	protein_coding	LUZP1
ENSG00000179546	protein_coding	HTR1D
ENSG00000261326	lincRNA	LINC01355
ENSG00000284726	lincRNA	AL109936.6
ENSG00000125944	protein_coding	HNRNPR
ENSG00000125945	protein_coding	ZNF436
ENSG00000249087	antisense	ZNF436-AS1
ENSG00000271420	lincRNA	AL109936.2
ENSG00000204219	protein_coding	TCEA3
ENSG00000088280	protein_coding	ASAP3
ENSG00000007968	protein_coding	E2F2
ENSG00000235052	lincRNA	AL021154.1
ENSG00000117318	protein_coding	ID3
ENSG00000197880	lincRNA	MDS2
ENSG00000142676	protein_coding	RPL11
ENSG00000011007	protein_coding	ELOA
ENSG00000236810	antisense	ELOA-AS1
ENSG00000057757	protein_coding	PITHD1
ENSG00000011009	protein_coding	LYPLA2
ENSG00000117308	protein_coding	GALE
ENSG00000117305	protein_coding	HMGCL
ENSG00000179163	protein_coding	FUCA1
ENSG00000188822	protein_coding	CNR2
ENSG00000232557	antisense	AL590609.3
ENSG00000189266	protein_coding	PNRC2
ENSG00000188529	protein_coding	SRSF10
ENSG00000225315	antisense	AL591178.1
ENSG00000142661	protein_coding	MYOM3
ENSG00000230703	antisense	AL591178.2
ENSG00000142677	protein_coding	IL22RA1
ENSG00000185436	protein_coding	IFNLR1
ENSG00000230023	lincRNA	AL590683.1
ENSG00000232298	antisense	AL138902.1
ENSG00000158055	protein_coding	GRHL3
ENSG00000001460	protein_coding	STPG1
ENSG00000001461	protein_coding	NIPAL3
ENSG00000117602	protein_coding	RCAN3
ENSG00000264443	lincRNA	AL445686.2
ENSG00000184454	protein_coding	NCMAP
ENSG00000133226	protein_coding	SRRM1
ENSG00000284699	lincRNA	AL445648.1
ENSG00000169504	protein_coding	CLIC4
ENSG00000020633	protein_coding	RUNX3
ENSG00000229162	antisense	AL445471.1
ENSG00000261025	lincRNA	AL445471.2
ENSG00000233755	lincRNA	AL050344.1
ENSG00000231953	antisense	AL031432.1
ENSG00000117614	protein_coding	SYF2
ENSG00000284657	lincRNA	AL031432.5
ENSG00000117616	protein_coding	RSRP1
ENSG00000272432	lincRNA	AL031432.3
ENSG00000187010	protein_coding	RHD
ENSG00000183726	protein_coding	TMEM50A
ENSG00000188672	protein_coding	RHCE
ENSG00000204178	protein_coding	MACO1
ENSG00000157978	protein_coding	LDLRAP1
ENSG00000225643	lincRNA	AL606491.1
ENSG00000117643	protein_coding	MAN1C1
ENSG00000233478	antisense	AL031280.1
ENSG00000162430	protein_coding	SELENON
ENSG00000255054	protein_coding	AL020996.2
ENSG00000228172	antisense	AL020996.1
ENSG00000117640	protein_coding	MTFR1L
ENSG00000272478	antisense	AL020996.3
ENSG00000127423	protein_coding	AUNIP
ENSG00000236528	antisense	AL033528.2
ENSG00000182749	protein_coding	PAQR7
ENSG00000117632	protein_coding	STMN1
ENSG00000158006	protein_coding	PAFAH2
ENSG00000158008	protein_coding	EXTL1
ENSG00000158014	protein_coding	SLC30A2
ENSG00000158022	protein_coding	TRIM63
ENSG00000175087	protein_coding	PDIK1L
ENSG00000197245	protein_coding	FAM110D
ENSG00000282872	protein_coding	C1orf232
ENSG00000236782	protein_coding	AL391650.1
ENSG00000142684	protein_coding	ZNF593
ENSG00000142675	protein_coding	CNKSR1
ENSG00000188782	protein_coding	CATSPER4
ENSG00000130695	protein_coding	CEP85
ENSG00000142669	protein_coding	SH3BGRL3
ENSG00000158062	protein_coding	UBXN11
ENSG00000169442	protein_coding	CD52
ENSG00000176092	protein_coding	CRYBG2
ENSG00000176083	protein_coding	ZNF683
ENSG00000131914	protein_coding	LIN28A
ENSG00000117682	protein_coding	DHDDS
ENSG00000225891	antisense	AL513365.2
ENSG00000198830	protein_coding	HMGN2
ENSG00000117676	protein_coding	RPS6KA1
ENSG00000260063	antisense	AL512408.1
ENSG00000117713	protein_coding	ARID1A
ENSG00000060642	protein_coding	PIGV
ENSG00000204160	protein_coding	ZDHHC18
ENSG00000175793	protein_coding	SFN
ENSG00000226698	antisense	AL034380.1
ENSG00000142751	protein_coding	GPN2
ENSG00000198746	protein_coding	GPATCH3
ENSG00000090273	protein_coding	NUDC
ENSG00000131910	protein_coding	NR0B2
ENSG00000175707	protein_coding	KDF1
ENSG00000253368	protein_coding	TRNP1
ENSG00000158246	protein_coding	TENT5B
ENSG00000090020	protein_coding	SLC9A1
ENSG00000224311	antisense	AL590640.1
ENSG00000142784	protein_coding	WDTC1
ENSG00000186501	protein_coding	TMEM222
ENSG00000142765	protein_coding	SYTL1
ENSG00000142733	protein_coding	MAP3K6
ENSG00000142748	protein_coding	FCN3
ENSG00000174950	protein_coding	CD164L2
ENSG00000181773	protein_coding	GPR3
ENSG00000158195	protein_coding	WASF2
ENSG00000241169	lincRNA	FO393419.2
ENSG00000237429	antisense	BX293535.1
ENSG00000126705	protein_coding	AHDC1
ENSG00000000938	protein_coding	FGR
ENSG00000233975	lincRNA	LINC02574
ENSG00000126709	protein_coding	IFI6
ENSG00000225886	antisense	AL445490.1
ENSG00000009780	protein_coding	FAM76A
ENSG00000117758	protein_coding	STX12
ENSG00000117751	protein_coding	PPP1R8
ENSG00000130775	protein_coding	THEMIS2
ENSG00000117748	protein_coding	RPA2
ENSG00000130768	protein_coding	SMPDL3B
ENSG00000227050	antisense	AL512288.1
ENSG00000158156	protein_coding	XKR8
ENSG00000158161	protein_coding	EYA3
ENSG00000169403	protein_coding	PTAFR
ENSG00000126698	protein_coding	DNAJC8
ENSG00000130770	protein_coding	ATP5IF1
ENSG00000270605	antisense	AL353622.1
ENSG00000271398	lincRNA	AL353622.2
ENSG00000130766	protein_coding	SESN2
ENSG00000130772	protein_coding	MED18
ENSG00000204138	protein_coding	PHACTR4
ENSG00000180198	protein_coding	RCC1
ENSG00000180098	protein_coding	TRNAU1AP
ENSG00000197989	antisense	SNHG12
ENSG00000120656	protein_coding	TAF12
ENSG00000188060	protein_coding	RAB42
ENSG00000229388	lincRNA	LINC01715
ENSG00000270103	lincRNA	AL360012.1
ENSG00000162419	protein_coding	GMEB1
ENSG00000198492	protein_coding	YTHDF2
ENSG00000116329	protein_coding	OPRD1
ENSG00000233427	antisense	AL009181.1
ENSG00000159023	protein_coding	EPB41
ENSG00000253304	protein_coding	TMEM200B
ENSG00000225750	lincRNA	AL357500.1
ENSG00000116350	protein_coding	SRSF4
ENSG00000116353	protein_coding	MECR
ENSG00000237934	antisense	AL590729.1
ENSG00000060656	protein_coding	PTPRU
ENSG00000230523	lincRNA	LINC01756
ENSG00000228176	lincRNA	AC092265.1
ENSG00000284676	lincRNA	AL645944.2
ENSG00000233399	lincRNA	LINC01648
ENSG00000233372	lincRNA	AL137076.1
ENSG00000236335	lincRNA	AL161638.2
ENSG00000231949	lincRNA	AL161638.1
ENSG00000162510	protein_coding	MATN1
ENSG00000186056	antisense	MATN1-AS1
ENSG00000162511	protein_coding	LAPTM5
ENSG00000229607	lincRNA	AL137027.1
ENSG00000223382	lincRNA	LINC01778
ENSG00000235143	antisense	AL445235.1
ENSG00000162512	protein_coding	SDC3
ENSG00000134644	protein_coding	PUM1
ENSG00000084628	protein_coding	NKAIN1
ENSG00000060688	protein_coding	SNRNP40
ENSG00000121766	protein_coding	ZCCHC17
ENSG00000229044	antisense	AL451070.1
ENSG00000121769	protein_coding	FABP3
ENSG00000168528	protein_coding	SERINC2
ENSG00000229167	antisense	AC114488.1
ENSG00000142910	protein_coding	TINAGL1
ENSG00000121764	protein_coding	HCRTR1
ENSG00000162517	protein_coding	PEF1
